"id:ID","name",":LABEL"
"author_Emilio_Coppa","Emilio Coppa","Author"
"author_Wei-Di_Chang","Wei-Di Chang","Author"
"author_Scott_Fujimoto","Scott Fujimoto","Author"
"author_David_Meger","David Meger","Author"
"author_Gregory_Dudek","Gregory Dudek","Author"
"author_Alexander_Levine_0001","Alexander Levine 0001","Author"
"author_Peter_Stone_0001","Peter Stone 0001","Author"
"author_Amy_Zhang_0001","Amy Zhang 0001","Author"
"author_Zhiyuan_Zhou","Zhiyuan Zhou","Author"
"author_Shreyas_Sundara_Raman","Shreyas Sundara Raman","Author"
"author_Henry_Sowerby","Henry Sowerby","Author"
"author_Michael_Littman_0002","Michael Littman 0002","Author"
"author_Mohammad_Javad_Azizi","Mohammad Javad Azizi","Author"
"author_Thang_Duong","Thang Duong","Author"
"author_Yasin_Abbasi-Yadkori","Yasin Abbasi-Yadkori","Author"
"author_Andrs_Gyrgy_0001","Andrs Gyrgy 0001","Author"
"author_Claire_Vernade","Claire Vernade","Author"
"author_Mohammad_Ghavamzadeh","Mohammad Ghavamzadeh","Author"
"author_Hassan_Saber","Hassan Saber","Author"
"author_Odalric-Ambrym_Maillard","Odalric-Ambrym Maillard","Author"
"author_Alex_Ayoub","Alex Ayoub","Author"
"author_David_Szepesvari","David Szepesvari","Author"
"author_Francesco_Zanini","Francesco Zanini","Author"
"author_Bryan_Chan","Bryan Chan","Author"
"author_Dhawal_Gupta","Dhawal Gupta","Author"
"author_Bruno_Castro_da_Silva","Bruno Castro da Silva","Author"
"author_Dale_Schuurmans","Dale Schuurmans","Author"
"author_Forest_Agostinelli","Forest Agostinelli","Author"
"author_Misagh_Soltani","Misagh Soltani","Author"
"author_Raphal_Boige","Raphal Boige","Author"
"author_Yannis_Flet-Berliac","Yannis Flet-Berliac","Author"
"author_Lars_C._P._M._Quaedvlieg","Lars C. P. M. Quaedvlieg","Author"
"author_Arthur_Flajolet","Arthur Flajolet","Author"
"author_Guillaume_Richard","Guillaume Richard","Author"
