"id:ID","name",":LABEL"
"proc_valuetools_2015","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2015","Proceeding"
"proc_rlc_2024","Proceedings of RLJ 2024","Proceeding"
"proc_www_2007","Proceedings of World Wide Web 2007","Proceeding"
"proc_mobiquitous_2015","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2015","Proceeding"
"proc_valuetools_2005","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2005","Proceeding"
"proc_valuetools_2016","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2016","Proceeding"
"proc_valuetools_2014","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2014","Proceeding"
"proc_valuetools_2012","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2012","Proceeding"
"proc_rlc_2008","Proceedings of RLJ 2008","Proceeding"
"proc_rlc_2021","Proceedings of RLJ 2021","Proceeding"
"proc_rlc_2011","Proceedings of RLJ 2011","Proceeding"
"proc_rlc_2006","Proceedings of RLJ 2006","Proceeding"
"proc_www_2006","Proceedings of World Wide Web 2006","Proceeding"
"proc_www_2009","Proceedings of World Wide Web 2009","Proceeding"
"proc_www_2021","Proceedings of World Wide Web 2021","Proceeding"
"proc_www_2013","Proceedings of World Wide Web 2013","Proceeding"
"proc_mobiquitous_2007","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2007","Proceeding"
"proc_mobiquitous_2016","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2016","Proceeding"
"proc_mobiquitous_2024","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2024","Proceeding"
"proc_mobiquitous_2022","Proceedings of EAI Endorsed Trans. Ubiquitous Environ. 2022","Proceeding"
