"id:ID","name","year:int","venue:string",":LABEL"
"edition_valuetools_2015","EAI Endorsed Trans. Ubiquitous Environ.","2015.0","venue_valuetools","PublisherPlace;ConferenceWorkshopEdition"
"edition_rlc_2024","RLJ","2024.0","venue_rlc","PublisherPlace;ConferenceWorkshopEdition"
"edition_www_2007","World Wide Web","2007.0","venue_www","PublisherPlace;ConferenceWorkshopEdition"
"edition_mobiquitous_2015","EAI Endorsed Trans. Ubiquitous Environ.","2015.0","venue_mobiquitous","PublisherPlace;ConferenceWorkshopEdition"
"journal_coap","Comput. Optim. Appl.","","","PublisherPlace;Journal"
"journal_isf","Inf. Syst. Frontiers","","","PublisherPlace;Journal"
"journal_sigir","SIGIR Forum","","","PublisherPlace;Journal"
"journal_tnn","IEEE Trans. Neural Networks","","","PublisherPlace;Journal"
"journal_oir","Online Inf. Rev.","","","PublisherPlace;Journal"
"journal_ojcs","IEEE Open J. Commun. Soc.","","","PublisherPlace;Journal"
"journal_taslp","IEEE Trans. Speech Audio Process.","","","PublisherPlace;Journal"
"journal_ejasp","EURASIP J. Adv. Signal Process.","","","PublisherPlace;Journal"
"journal_tmc","IEEE Trans. Mob. Comput.","","","PublisherPlace;Journal"
"journal_remotesensing","Remote. Sens.","","","PublisherPlace;Journal"
"journal_jcisd","J. Chem. Inf. Model.","","","PublisherPlace;Journal"
"journal_kbs","Knowl. Based Syst.","","","PublisherPlace;Journal"
"journal_cphysics","Comput. Phys. Commun.","","","PublisherPlace;Journal"
"journal_jfi","J. Frankl. Inst.","","","PublisherPlace;Journal"
"journal_sigapl","ACM SIGAPL APL Quote Quad","","","PublisherPlace;Journal"
"journal_jss","J. Syst. Softw.","","","PublisherPlace;Journal"
"journal_jilt","Eur. J. Law Technol.","","","PublisherPlace;Journal"
"journal_ijisec","Int. J. Inf. Sec.","","","PublisherPlace;Journal"
"journal_npjdm","npj Digit. Medicine","","","PublisherPlace;Journal"
"journal_tip","IEEE Trans. Image Process.","","","PublisherPlace;Journal"
"journal_computers","Comput.","","","PublisherPlace;Journal"
"journal_ar","Adv. Robotics","","","PublisherPlace;Journal"
"journal_urbaninformatics","Urban Inform.","","","PublisherPlace;Journal"
"journal_csur","ACM Comput. Surv.","","","PublisherPlace;Journal"
"journal_wicomm","Wirel. Commun. Mob. Comput.","","","PublisherPlace;Journal"
"journal_orgsci","Organ. Sci.","","","PublisherPlace;Journal"
"journal_jmis","J. Manag. Inf. Syst.","","","PublisherPlace;Journal"
"journal_prl","Pattern Recognit. Lett.","","","PublisherPlace;Journal"
"journal_ijcisys","Int. J. Comput. Intell. Syst.","","","PublisherPlace;Journal"
"journal_scp","Sci. Comput. Program.","","","PublisherPlace;Journal"
"journal_iepol","Inf. Econ. Policy","","","PublisherPlace;Journal"
"journal_ijscn","Int. J. Satell. Commun. Netw.","","","PublisherPlace;Journal"
"journal_tsp","IEEE Trans. Signal Process.","","","PublisherPlace;Journal"
"journal_itiis","KSII Trans. Internet Inf. Syst.","","","PublisherPlace;Journal"
"journal_iet-ipr","IET Image Process.","","","PublisherPlace;Journal"
"journal_firstmonday","First Monday","","","PublisherPlace;Journal"
"journal_giq","Gov. Inf. Q.","","","PublisherPlace;Journal"
"journal_fgcs","Future Gener. Comput. Syst.","","","PublisherPlace;Journal"
"journal_toms","ACM Trans. Math. Softw.","","","PublisherPlace;Journal"
"journal_information","Inf.","","","PublisherPlace;Journal"
