"id:ID","year:int",":LABEL"
"volume_journal_coap_43","2009","Volume"
"volume_journal_isf_18","2016","Volume"
"volume_journal_sigir_32","1998","Volume"
"volume_journal_tnn_16","2005","Volume"
"volume_journal_tnn_34","2023","Volume"
"volume_journal_tnn_35","2024","Volume"
"volume_journal_oir_38","2014","Volume"
"volume_journal_ojcs_5","2024","Volume"
"volume_journal_taslp_13","2005","Volume"
"volume_journal_ejasp_2012","2012","Volume"
"volume_journal_tmc_17","2018","Volume"
"volume_journal_remotesensing_11","2019","Volume"
"volume_journal_remotesensing_5","2013","Volume"
"volume_journal_remotesensing_15","2023","Volume"
"volume_journal_remotesensing_14","2022","Volume"
"volume_journal_jcisd_61","2021","Volume"
"volume_journal_jcisd_62","2022","Volume"
"volume_journal_kbs_235","2022","Volume"
"volume_journal_kbs_137","2017","Volume"
"volume_journal_kbs_70","2014","Volume"
"volume_journal_cphysics_309","2025","Volume"
"volume_journal_jfi_355","2018","Volume"
"volume_journal_sigapl_24","1993","Volume"
"volume_journal_jss_81","2008","Volume"
"volume_journal_jilt_5","2014","Volume"
"volume_journal_ijisec_22","2023","Volume"
"volume_journal_ijisec_21","2022","Volume"
"volume_journal_npjdm_3","2020","Volume"
"volume_journal_tip_32","2023","Volume"
"volume_journal_computers_13","2024","Volume"
"volume_journal_ar_34","2020","Volume"
"volume_journal_urbaninformatics_1","2022","Volume"
"volume_journal_csur_56","2024","Volume"
"volume_journal_wicomm_12","2012","Volume"
"volume_journal_orgsci_23","2012","Volume"
"volume_journal_jmis_22","2006","Volume"
"volume_journal_prl_184","2024","Volume"
"volume_journal_prl_185","2024","Volume"
"volume_journal_ijcisys_17","2024","Volume"
"volume_journal_ijcisys_16","2023","Volume"
"volume_journal_scp_5","1985","Volume"
"volume_journal_iepol_17","2005","Volume"
"volume_journal_ijscn_35","2017","Volume"
"volume_journal_ijscn_38","2020","Volume"
"volume_journal_ijscn_39","2021","Volume"
"volume_journal_tsp_53","2005","Volume"
"volume_journal_itiis_17","2023","Volume"
"volume_journal_iet-ipr_12","2018","Volume"
"volume_journal_firstmonday_11","2006","Volume"
"volume_journal_firstmonday_24","2019","Volume"
"volume_journal_giq_18","2001","Volume"
"volume_journal_fgcs_9","1993","Volume"
"volume_journal_toms_7","1981","Volume"
"volume_journal_information_12","2021","Volume"
"volume_journal_information_10","2019","Volume"
"volume_journal_tcs_132","1994","Volume"
"volume_journal_cbsn_10","2007","Volume"
"volume_journal_cbsn_19","2016","Volume"
"volume_journal_jikm_15","2016","Volume"
"volume_journal_ipl_53","1995","Volume"
"volume_journal_jdi_30","2017","Volume"
"volume_journal_smr_25","2013","Volume"
"volume_journal_smr_31","2019","Volume"
"volume_journal_smr_26","2014","Volume"
"volume_journal_cstat_27","2012","Volume"
"volume_journal_iam_59","2022","Volume"
"volume_journal_spic_81","2020","Volume"
"volume_journal_vlsisp_92","2020","Volume"
"volume_journal_ife_13","1998","Volume"
"volume_journal_jbcb_3","2005","Volume"
"volume_journal_jmrr_9","2024","Volume"
"volume_journal_jois_24","2015","Volume"
"volume_journal_cg_18","1994","Volume"
"volume_journal_icl_17","2013","Volume"
"volume_journal_jasis_68","2017","Volume"
"volume_journal_ijhci_40","2024","Volume"
"volume_journal_jct_132","2018","Volume"
"volume_journal_jct_99","2009","Volume"
"volume_journal_nn_11","1998","Volume"
"volume_journal_nn_62","2015","Volume"
"volume_journal_tasm_43","2024","Volume"
"volume_journal_jcc_28","2007","Volume"
"volume_journal_rdlj_23","2020","Volume"
"volume_journal_jr_2021","2021","Volume"
"volume_journal_ijmms_109","2018","Volume"
"volume_journal_ijmms_9","1977","Volume"
"volume_journal_ijmms_52","2000","Volume"
"volume_journal_et_39","2023","Volume"
"volume_journal_quantum_7","2023","Volume"
"volume_journal_wpc_92","2017","Volume"
"volume_journal_cviu_72","1998","Volume"
"volume_journal_jscic_80","2019","Volume"
"volume_journal_robotica_13","1995","Volume"
"volume_journal_twc_22","2023","Volume"
"volume_journal_twc_12","2013","Volume"
"volume_journal_twc_10","2011","Volume"
"volume_journal_pvldb_12","2019","Volume"
"volume_journal_mr_86","2018","Volume"
"volume_journal_cacm_55","2012","Volume"
"volume_journal_cj_38","1995","Volume"
"volume_journal_cj_28","1985","Volume"
"volume_journal_frai_6","2023","Volume"
"volume_journal_ijdet_6","2008","Volume"
"volume_journal_jfr_40","2023","Volume"
"volume_journal_mis_2021","2021","Volume"
"volume_journal_vc_26","2010","Volume"
"volume_journal_ijcse_18","2019","Volume"
"volume_journal_crl_82","2021","Volume"
"volume_journal_amai_62","2011","Volume"
"volume_journal_chk_24","2017","Volume"
"volume_journal_jds_29","2020","Volume"
"volume_journal_entropy_25","2023","Volume"
"volume_journal_entropy_20","2018","Volume"
"volume_journal_entropy_22","2020","Volume"
"volume_journal_symmetry_15","2023","Volume"
"volume_journal_symmetry_13","2021","Volume"
