":START_ID",":END_ID",":TYPE"
"journals/toms/PallottinoT81","journals/ijmms/Lucas77","CITE"
"journals/dm/Rotem81","journals/ijmms/Lucas77","CITE"
"journals/dm/Rotem81","journals/toms/PallottinoT81","CITE"
"journals/scp/SouquieresF85","journals/toms/PallottinoT81","CITE"
"journals/scp/SouquieresF85","journals/ijmms/Lucas77","CITE"
"journals/scp/SouquieresF85","journals/dm/Rotem81","CITE"
"journals/cj/FlynnL85","journals/toms/PallottinoT81","CITE"
"journals/cj/FlynnL85","journals/dm/Rotem81","CITE"
"journals/cj/FlynnL85","journals/scp/SouquieresF85","CITE"
"journals/cj/FlynnL85","journals/ijmms/Lucas77","CITE"
"journals/mcss/CostaD88","journals/ijmms/Lucas77","CITE"
"journals/mcss/CostaD88","journals/scp/SouquieresF85","CITE"
"journals/mcss/CostaD88","journals/dm/Rotem81","CITE"
"journals/mcss/CostaD88","journals/cj/FlynnL85","CITE"
"journals/mcss/CostaD88","journals/toms/PallottinoT81","CITE"
"journals/it/GusgenF88","journals/scp/SouquieresF85","CITE"
"journals/it/GusgenF88","journals/ijmms/Lucas77","CITE"
"journals/it/GusgenF88","journals/dm/Rotem81","CITE"
"journals/it/GusgenF88","journals/mcss/CostaD88","CITE"
"journals/it/GusgenF88","journals/toms/PallottinoT81","CITE"
"journals/it/GusgenF88","journals/cj/FlynnL85","CITE"
"journals/sigarch/Dongarra88","journals/dm/Rotem81","CITE"
"journals/sigarch/Dongarra88","journals/toms/PallottinoT81","CITE"
"journals/sigarch/Dongarra88","journals/scp/SouquieresF85","CITE"
"journals/sigarch/Dongarra88","journals/ijmms/Lucas77","CITE"
"journals/sigarch/Dongarra88","journals/mcss/CostaD88","CITE"
"journals/sigarch/Dongarra88","journals/cj/FlynnL85","CITE"
"journals/tit/Krzyzak90","journals/sigarch/Dongarra88","CITE"
"journals/tit/Krzyzak90","journals/ijmms/Lucas77","CITE"
"journals/tit/Krzyzak90","journals/cj/FlynnL85","CITE"
"journals/tit/Krzyzak90","journals/scp/SouquieresF85","CITE"
"journals/kybernetika/Kucera91","journals/scp/SouquieresF85","CITE"
"journals/kybernetika/Kucera91","journals/toms/PallottinoT81","CITE"
"journals/kybernetika/Kucera91","journals/cj/FlynnL85","CITE"
"journals/kybernetika/Kucera91","journals/dm/Rotem81","CITE"
"journals/kybernetika/Kucera91","journals/ijmms/Lucas77","CITE"
"journals/kybernetika/Kucera91","journals/sigarch/Dongarra88","CITE"
"journals/kybernetika/Kucera91","journals/tit/Krzyzak90","CITE"
"journals/kybernetika/Kucera91","journals/it/GusgenF88","CITE"
"journals/kybernetika/Kucera91","journals/mcss/CostaD88","CITE"
"journals/tcom/RossT91","journals/ijmms/Lucas77","CITE"
"journals/tcom/RossT91","journals/scp/SouquieresF85","CITE"
"journals/tcom/RossT91","journals/tit/Krzyzak90","CITE"
"journals/tcom/RossT91","journals/toms/PallottinoT81","CITE"
"journals/tcom/RossT91","journals/cj/FlynnL85","CITE"
"journals/sigapl/Bergquist93","journals/scp/SouquieresF85","CITE"
"journals/sigapl/Bergquist93","journals/ijmms/Lucas77","CITE"
"journals/sigapl/Bergquist93","journals/tcom/RossT91","CITE"
"journals/sigapl/Bergquist93","journals/cj/FlynnL85","CITE"
"journals/sigapl/Bergquist93","journals/tit/Krzyzak90","CITE"
"journals/sigapl/Bergquist93","journals/dm/Rotem81","CITE"
"journals/sigapl/Bergquist93","journals/mcss/CostaD88","CITE"
"journals/sigapl/Bergquist93","journals/toms/PallottinoT81","CITE"
"journals/sigapl/Bergquist93","journals/sigarch/Dongarra88","CITE"
"journals/sigapl/Bergquist93","journals/kybernetika/Kucera91","CITE"
"journals/sigapl/Bergquist93","journals/it/GusgenF88","CITE"
"journals/fgcs/GrantD93","journals/toms/PallottinoT81","CITE"
"journals/fgcs/GrantD93","journals/tcom/RossT91","CITE"
"journals/fgcs/GrantD93","journals/kybernetika/Kucera91","CITE"
"journals/fgcs/GrantD93","journals/dm/Rotem81","CITE"
"journals/fgcs/GrantD93","journals/it/GusgenF88","CITE"
"journals/fgcs/GrantD93","journals/sigapl/Bergquist93","CITE"
"journals/fgcs/GrantD93","journals/scp/SouquieresF85","CITE"
"journals/fgcs/GrantD93","journals/tit/Krzyzak90","CITE"
"journals/fgcs/GrantD93","journals/ijmms/Lucas77","CITE"
"journals/fgcs/GrantD93","journals/cj/FlynnL85","CITE"
"journals/fgcs/GrantD93","journals/mcss/CostaD88","CITE"
"journals/fgcs/GrantD93","journals/sigarch/Dongarra88","CITE"
"journals/rfc/rfc1454","journals/kybernetika/Kucera91","CITE"
"journals/rfc/rfc1454","journals/ijmms/Lucas77","CITE"
"journals/rfc/rfc1454","journals/sigapl/Bergquist93","CITE"
"journals/rfc/rfc1454","journals/toms/PallottinoT81","CITE"
"journals/rfc/rfc1454","journals/fgcs/GrantD93","CITE"
"journals/rfc/rfc1454","journals/it/GusgenF88","CITE"
"journals/rfc/rfc1454","journals/scp/SouquieresF85","CITE"
"journals/rfc/rfc1454","journals/cj/FlynnL85","CITE"
"journals/rfc/rfc1454","journals/tit/Krzyzak90","CITE"
"journals/rfc/rfc1454","journals/mcss/CostaD88","CITE"
"journals/rfc/rfc1454","journals/dm/Rotem81","CITE"
"journals/rfc/rfc1454","journals/sigarch/Dongarra88","CITE"
"journals/rfc/rfc1454","journals/tcom/RossT91","CITE"
"journals/tcs/Kim94","journals/cj/FlynnL85","CITE"
"journals/tcs/Kim94","journals/tcom/RossT91","CITE"
"journals/tcs/Kim94","journals/it/GusgenF88","CITE"
"journals/tcs/Kim94","journals/tit/Krzyzak90","CITE"
"journals/tcs/Kim94","journals/sigapl/Bergquist93","CITE"
"journals/tcs/Kim94","journals/scp/SouquieresF85","CITE"
"journals/cg/StrackBDSGPMP94","journals/cj/FlynnL85","CITE"
"journals/cg/StrackBDSGPMP94","journals/dm/Rotem81","CITE"
"journals/cg/StrackBDSGPMP94","journals/it/GusgenF88","CITE"
"journals/cg/StrackBDSGPMP94","journals/toms/PallottinoT81","CITE"
"journals/cg/StrackBDSGPMP94","journals/ijmms/Lucas77","CITE"
"journals/cg/StrackBDSGPMP94","journals/scp/SouquieresF85","CITE"
"journals/cg/StrackBDSGPMP94","journals/kybernetika/Kucera91","CITE"
"journals/cg/StrackBDSGPMP94","journals/sigapl/Bergquist93","CITE"
"journals/cg/StrackBDSGPMP94","journals/rfc/rfc1454","CITE"
"journals/cg/StrackBDSGPMP94","journals/tcom/RossT91","CITE"
"journals/cg/StrackBDSGPMP94","journals/tit/Krzyzak90","CITE"
"journals/cg/StrackBDSGPMP94","journals/sigarch/Dongarra88","CITE"
"journals/ipl/Group95","journals/cj/FlynnL85","CITE"
"journals/ipl/Group95","journals/sigapl/Bergquist93","CITE"
"journals/ipl/Group95","journals/fgcs/GrantD93","CITE"
"journals/ipl/Group95","journals/tcom/RossT91","CITE"
"journals/ipl/Group95","journals/mcss/CostaD88","CITE"
"journals/ipl/Group95","journals/ijmms/Lucas77","CITE"
