":START_ID",":END_ID",":TYPE"
"journal_coap","volume_journal_coap_43","CONTAIN"
"journal_isf","volume_journal_isf_18","CONTAIN"
"journal_sigir","volume_journal_sigir_32","CONTAIN"
"journal_tnn","volume_journal_tnn_16","CONTAIN"
"journal_tnn","volume_journal_tnn_34","CONTAIN"
"journal_tnn","volume_journal_tnn_35","CONTAIN"
"journal_oir","volume_journal_oir_38","CONTAIN"
"journal_ojcs","volume_journal_ojcs_5","CONTAIN"
"journal_taslp","volume_journal_taslp_13","CONTAIN"
"journal_ejasp","volume_journal_ejasp_2012","CONTAIN"
"journal_tmc","volume_journal_tmc_17","CONTAIN"
"journal_remotesensing","volume_journal_remotesensing_11","CONTAIN"
"journal_remotesensing","volume_journal_remotesensing_5","CONTAIN"
"journal_remotesensing","volume_journal_remotesensing_15","CONTAIN"
"journal_remotesensing","volume_journal_remotesensing_14","CONTAIN"
"journal_jcisd","volume_journal_jcisd_61","CONTAIN"
"journal_jcisd","volume_journal_jcisd_62","CONTAIN"
"journal_kbs","volume_journal_kbs_235","CONTAIN"
"journal_kbs","volume_journal_kbs_137","CONTAIN"
"journal_kbs","volume_journal_kbs_70","CONTAIN"
"journal_cphysics","volume_journal_cphysics_309","CONTAIN"
"journal_jfi","volume_journal_jfi_355","CONTAIN"
"journal_sigapl","volume_journal_sigapl_24","CONTAIN"
"journal_jss","volume_journal_jss_81","CONTAIN"
"journal_jilt","volume_journal_jilt_5","CONTAIN"
"journal_ijisec","volume_journal_ijisec_22","CONTAIN"
"journal_ijisec","volume_journal_ijisec_21","CONTAIN"
"journal_npjdm","volume_journal_npjdm_3","CONTAIN"
"journal_tip","volume_journal_tip_32","CONTAIN"
"journal_computers","volume_journal_computers_13","CONTAIN"
"journal_ar","volume_journal_ar_34","CONTAIN"
"journal_urbaninformatics","volume_journal_urbaninformatics_1","CONTAIN"
"journal_csur","volume_journal_csur_56","CONTAIN"
"journal_wicomm","volume_journal_wicomm_12","CONTAIN"
"journal_orgsci","volume_journal_orgsci_23","CONTAIN"
"journal_jmis","volume_journal_jmis_22","CONTAIN"
"journal_prl","volume_journal_prl_184","CONTAIN"
