":START_ID",":END_ID","unique_key",":TYPE"
"pub_conf/valuetools/Coppa14","edition_valuetools_2015","pub_conf/valuetools/Coppa14_edition_valuetools_2015","PUBLISHED_IN"
"pub_conf/rlc/ChangFMD24","edition_rlc_2024","pub_conf/rlc/ChangFMD24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/0001S024","edition_rlc_2024","pub_conf/rlc/0001S024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/ZhouRS024","edition_rlc_2024","pub_conf/rlc/ZhouRS024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/AziziDA0VG24","edition_rlc_2024","pub_conf/rlc/AziziDA0VG24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/SaberM24","edition_rlc_2024","pub_conf/rlc/SaberM24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/AyoubSZCGSS24","edition_rlc_2024","pub_conf/rlc/AyoubSZCGSS24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/AgostinelliS24","edition_rlc_2024","pub_conf/rlc/AgostinelliS24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/BoigeFQFRP24","edition_rlc_2024","pub_conf/rlc/BoigeFQFRP24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/JordanNK0T24","edition_rlc_2024","pub_conf/rlc/JordanNK0T24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/FungDHM24","edition_rlc_2024","pub_conf/rlc/FungDHM24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/TalvitieSLHBZW24","edition_rlc_2024","pub_conf/rlc/TalvitieSLHBZW24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/RongK24","edition_rlc_2024","pub_conf/rlc/RongK24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/KanariosZ024","edition_rlc_2024","pub_conf/rlc/KanariosZ024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/JeongM24","edition_rlc_2024","pub_conf/rlc/JeongM24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/0003LLM24","edition_rlc_2024","pub_conf/rlc/0003LLM24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/DunionA24","edition_rlc_2024","pub_conf/rlc/DunionA24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/HuangGJP24","edition_rlc_2024","pub_conf/rlc/HuangGJP24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/PanahiPW024","edition_rlc_2024","pub_conf/rlc/PanahiPW024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/AsriST24","edition_rlc_2024","pub_conf/rlc/AsriST24_edition_rlc_2024","PUBLISHED_IN"
