":START_ID",":END_ID","is_corresponding:boolean",":TYPE"
"author_Emilio_Coppa","conf/valuetools/Coppa14","True","WRITE"
"author_Wei-Di_Chang","conf/rlc/ChangFMD24","True","WRITE"
"author_Scott_Fujimoto","conf/rlc/ChangFMD24","False","WRITE"
"author_David_Meger","conf/rlc/ChangFMD24","False","WRITE"
"author_Gregory_Dudek","conf/rlc/ChangFMD24","False","WRITE"
"author_Alexander_Levine_0001","conf/rlc/0001S024","True","WRITE"
"author_Peter_Stone_0001","conf/rlc/0001S024","False","WRITE"
"author_Amy_Zhang_0001","conf/rlc/0001S024","False","WRITE"
"author_Zhiyuan_Zhou","conf/rlc/ZhouRS024","True","WRITE"
"author_Shreyas_Sundara_Raman","conf/rlc/ZhouRS024","False","WRITE"
"author_Henry_Sowerby","conf/rlc/ZhouRS024","False","WRITE"
"author_Michael_Littman_0002","conf/rlc/ZhouRS024","False","WRITE"
"author_Mohammad_Javad_Azizi","conf/rlc/AziziDA0VG24","True","WRITE"
"author_Thang_Duong","conf/rlc/AziziDA0VG24","False","WRITE"
"author_Yasin_Abbasi-Yadkori","conf/rlc/AziziDA0VG24","False","WRITE"
"author_Andrs_Gyrgy_0001","conf/rlc/AziziDA0VG24","False","WRITE"
"author_Claire_Vernade","conf/rlc/AziziDA0VG24","False","WRITE"
"author_Mohammad_Ghavamzadeh","conf/rlc/AziziDA0VG24","False","WRITE"
"author_Hassan_Saber","conf/rlc/SaberM24","True","WRITE"
"author_Odalric-Ambrym_Maillard","conf/rlc/SaberM24","False","WRITE"
"author_Alex_Ayoub","conf/rlc/AyoubSZCGSS24","True","WRITE"
"author_David_Szepesvari","conf/rlc/AyoubSZCGSS24","False","WRITE"
"author_Francesco_Zanini","conf/rlc/AyoubSZCGSS24","False","WRITE"
"author_Bryan_Chan","conf/rlc/AyoubSZCGSS24","False","WRITE"
"author_Dhawal_Gupta","conf/rlc/AyoubSZCGSS24","False","WRITE"
"author_Bruno_Castro_da_Silva","conf/rlc/AyoubSZCGSS24","False","WRITE"
"author_Dale_Schuurmans","conf/rlc/AyoubSZCGSS24","False","WRITE"
"author_Forest_Agostinelli","conf/rlc/AgostinelliS24","True","WRITE"
"author_Misagh_Soltani","conf/rlc/AgostinelliS24","False","WRITE"
"author_Raphal_Boige","conf/rlc/BoigeFQFRP24","True","WRITE"
"author_Yannis_Flet-Berliac","conf/rlc/BoigeFQFRP24","False","WRITE"
"author_Lars_C._P._M._Quaedvlieg","conf/rlc/BoigeFQFRP24","False","WRITE"
"author_Arthur_Flajolet","conf/rlc/BoigeFQFRP24","False","WRITE"
"author_Guillaume_Richard","conf/rlc/BoigeFQFRP24","False","WRITE"
"author_Thomas_Pierrot","conf/rlc/BoigeFQFRP24","False","WRITE"
"author_Scott_M._Jordan","conf/rlc/JordanNK0T24","True","WRITE"
"author_Samuel_Neumann","conf/rlc/JordanNK0T24","False","WRITE"
"author_James_E._Kostas","conf/rlc/JordanNK0T24","False","WRITE"
"author_Adam_White_0001","conf/rlc/JordanNK0T24","False","WRITE"
"author_Philip_S._Thomas","conf/rlc/JordanNK0T24","False","WRITE"
"author_Ho_Long_Fung","conf/rlc/FungDHM24","True","WRITE"
"author_Victor-Alexandru_Darvariu","conf/rlc/FungDHM24","False","WRITE"
"author_Stephen_Hailes","conf/rlc/FungDHM24","False","WRITE"
"author_Mirco_Musolesi","conf/rlc/FungDHM24","False","WRITE"
"author_Erin_J._Talvitie","conf/rlc/TalvitieSLHBZW24","True","WRITE"
"author_Zilei_Shao","conf/rlc/TalvitieSLHBZW24","False","WRITE"
"author_Huiying_Li","conf/rlc/TalvitieSLHBZW24","False","WRITE"
"author_Jinghan_Hu","conf/rlc/TalvitieSLHBZW24","False","WRITE"
"author_Jacob_Boerma","conf/rlc/TalvitieSLHBZW24","False","WRITE"
"author_Rory_Zhao","conf/rlc/TalvitieSLHBZW24","False","WRITE"
"author_Xintong_Wang","conf/rlc/TalvitieSLHBZW24","False","WRITE"
"author_Frieda_Rong","conf/rlc/RongK24","True","WRITE"
"author_Max_Kleiman-Weiner","conf/rlc/RongK24","False","WRITE"
"author_Kellen_Kanarios","conf/rlc/KanariosZ024","True","WRITE"
"author_Qining_Zhang","conf/rlc/KanariosZ024","False","WRITE"
"author_Lei_Ying_0001","conf/rlc/KanariosZ024","False","WRITE"
"author_Woojin_Jeong","conf/rlc/JeongM24","True","WRITE"
"author_Seungki_Min","conf/rlc/JeongM24","False","WRITE"
"author_Mohamed_Elsayed_0003","conf/rlc/0003LLM24","True","WRITE"
"author_Qingfeng_Lan","conf/rlc/0003LLM24","False","WRITE"
"author_Clare_Lyle","conf/rlc/0003LLM24","False","WRITE"
"author_A._Rupam_Mahmood","conf/rlc/0003LLM24","False","WRITE"
"author_Mhairi_Dunion","conf/rlc/DunionA24","True","WRITE"
"author_Stefano_V._Albrecht","conf/rlc/DunionA24","False","WRITE"
"author_Audrey_Huang","conf/rlc/HuangGJP24","True","WRITE"
"author_Mohammad_Ghavamzadeh","conf/rlc/HuangGJP24","False","WRITE"
"author_Nan_Jiang_0008","conf/rlc/HuangGJP24","False","WRITE"
"author_Marek_Petrik","conf/rlc/HuangGJP24","False","WRITE"
"author_Parham_Mohammad_Panahi","conf/rlc/PanahiPW024","True","WRITE"
"author_Andrew_Patterson","conf/rlc/PanahiPW024","False","WRITE"
"author_Martha_White","conf/rlc/PanahiPW024","False","WRITE"
"author_Adam_White_0001","conf/rlc/PanahiPW024","False","WRITE"
"author_Zakariae_El_Asri","conf/rlc/AsriST24","True","WRITE"
"author_Olivier_Sigaud","conf/rlc/AsriST24","False","WRITE"
"author_Nicolas_Thome","conf/rlc/AsriST24","False","WRITE"
"author_Jacob_Beck","conf/rlc/BeckJVXW24","True","WRITE"
"author_Matthew_Thomas_Jackson","conf/rlc/BeckJVXW24","False","WRITE"
"author_Risto_Vuorio","conf/rlc/BeckJVXW24","False","WRITE"
"author_Zheng_Xiong","conf/rlc/BeckJVXW24","False","WRITE"
"author_Shimon_Whiteson","conf/rlc/BeckJVXW24","False","WRITE"
"author_Lopold_Mayti","conf/rlc/MaytieDAV24","True","WRITE"
"author_Benjamin_Devillers","conf/rlc/MaytieDAV24","False","WRITE"
"author_Alexandre_Arnold","conf/rlc/MaytieDAV24","False","WRITE"
"author_Rufin_VanRullen","conf/rlc/MaytieDAV24","False","WRITE"
"author_Timon_Willi","conf/rlc/WilliOFDC24","True","WRITE"
"author_Johan_Samir_Obando-Ceron","conf/rlc/WilliOFDC24","False","WRITE"
"author_Jakob_Nicolaus_Foerster","conf/rlc/WilliOFDC24","False","WRITE"
